Action name,Iteration,Status,Responsiveness,Start time,End time,"Duration, msec"
TV_Search/SearchChannel,18,Passed,N/A,2020-10-02 11:33:34.237000,2020-10-02 11:33:38.310000,952
TV_Search/SearchChannel,19,Passed,N/A,2020-10-02 11:36:09.987000,2020-10-02 11:36:13.917000,994
TV_Search/SearchChannel,20,Passed,N/A,2020-10-02 11:38:53.482000,2020-10-02 11:38:57.699000,901
TV_Search/SearchChannel,21,Passed,N/A,2020-10-02 11:41:28.234000,2020-10-02 11:41:32.103000,894
TV_Search/SearchChannel,22,Passed,N/A,2020-10-02 11:44:04.473000,2020-10-02 11:44:08.260000,1512
TV_Search/SearchChannel,23,Passed,N/A,2020-10-02 11:46:40.477000,2020-10-02 11:46:44.344000,864
TV_Search/SearchChannel,24,Passed,N/A,2020-10-02 11:49:14.293000,2020-10-02 11:49:17.982000,1481
TV_Search/SearchChannel,25,Passed,N/A,2020-10-02 11:51:52.317000,2020-10-02 11:51:56.034000,1471
TV_Search/SearchChannel,26,Passed,N/A,2020-10-02 11:54:28.439000,2020-10-02 11:54:32.563000,857
TV_Search/SearchChannel,27,Passed,N/A,2020-10-02 11:57:06.799000,2020-10-02 11:57:10.958000,906
TV_Search/SearchChannel,28,Passed,N/A,2020-10-02 11:59:40.957000,2020-10-02 11:59:44.350000,1447
TV_Search/SearchChannel,29,Passed,N/A,2020-10-02 12:02:19.363000,2020-10-02 12:02:23.663000,901
TV_Search/SearchChannel,30,Passed,N/A,2020-10-02 12:04:56.047000,2020-10-02 12:05:00.110000,906
TV_Search/SearchChannel,31,Passed,N/A,2020-10-02 12:07:39.508000,2020-10-02 12:07:43.876000,890
TV_Search/SearchChannel,32,Passed,N/A,2020-10-02 12:10:18.977000,2020-10-02 12:10:22.994000,923
TV_Search/SearchChannel,33,Passed,N/A,2020-10-02 12:12:55.871000,2020-10-02 12:12:59.925000,925
TV_Search/SearchChannel,34,Passed,N/A,2020-10-02 12:15:31.913000,2020-10-02 12:15:37.044000,933
TV_Search/SearchChannel,35,Passed,N/A,2020-10-02 12:18:09.175000,2020-10-02 12:18:13.261000,906
TV_Search/SearchChannel,36,Passed,N/A,2020-10-02 12:20:51.556000,2020-10-02 12:20:55.763000,846
TV_Search/SearchChannel,37,Passed,N/A,2020-10-02 12:23:29.716000,2020-10-02 12:23:33.610000,825
TV_Search/SearchChannel,38,Passed,N/A,2020-10-02 12:26:08.480000,2020-10-02 12:26:12.618000,922
TV_Search/SearchChannel,39,Passed,N/A,2020-10-02 12:28:45.105000,2020-10-02 12:28:49.420000,909
TV_Search/SearchChannel,40,Passed,N/A,2020-10-02 12:31:25.841000,2020-10-02 12:31:29.250000,1488
TV_Search/SearchChannel,41,Passed,N/A,2020-10-02 12:34:00.945000,2020-10-02 12:34:05.477000,963
TV_Search/SearchChannel,42,Passed,N/A,2020-10-02 12:36:39.263000,2020-10-02 12:36:43.743000,900
TV_Search/SearchChannel,43,Passed,N/A,2020-10-02 12:39:14.012000,2020-10-02 12:39:18.061000,892
TV_Search/SearchChannel,44,Passed,N/A,2020-10-02 12:41:51.329000,2020-10-02 12:41:55.735000,908
TV_Search/SearchChannel,45,Passed,N/A,2020-10-02 12:44:27.555000,2020-10-02 12:44:31.725000,917
TV_Search/SearchChannel,46,Passed,N/A,2020-10-02 12:47:05.261000,2020-10-02 12:47:09.319000,892
TV_Search/SearchChannel,47,Passed,N/A,2020-10-02 12:49:39.113000,2020-10-02 12:49:43.678000,920
TV_Search/SearchChannel,48,Passed,N/A,2020-10-02 12:52:17.395000,2020-10-02 12:52:21.329000,852
TV_Search/SearchChannel,49,Passed,N/A,2020-10-02 12:54:53.131000,2020-10-02 12:54:57.278000,967
TV_Search/SearchChannel,50,Passed,N/A,2020-10-02 12:57:32.834000,2020-10-02 12:57:36.802000,921
TV_Stream/StartLinear,1,Passed,N/A,2020-10-02 10:55:59.991000,2020-10-02 10:56:15.181000,2876
TV_Stream/StartLinear,2,Passed,N/A,2020-10-02 10:58:39.818000,2020-10-02 10:58:53.218000,2449
TV_Stream/StartLinear,3,Passed,N/A,2020-10-02 11:01:18.130000,2020-10-02 11:01:33.184000,2676
TV_Stream/StartLinear,4,Passed,N/A,2020-10-02 11:03:54.672000,2020-10-02 11:04:09.398000,2436
TV_Stream/StartLinear,5,Passed,N/A,2020-10-02 11:06:34.115000,2020-10-02 11:06:47.397000,2614
TV_Stream/StartLinear,6,Passed,N/A,2020-10-02 11:09:10.841000,2020-10-02 11:09:24.239000,2385
TV_Stream/StartLinear,7,Passed,N/A,2020-10-02 11:11:47.802000,2020-10-02 11:12:00.759000,2514
TV_Stream/StartLinear,8,Passed,N/A,2020-10-02 11:14:25.445000,2020-10-02 11:14:40.433000,2662
TV_Stream/StartLinear,9,Passed,N/A,2020-10-02 11:17:04.653000,2020-10-02 11:17:19.829000,2871
TV_Stream/StartLinear,10,Passed,N/A,2020-10-02 11:19:44.285000,2020-10-02 11:19:57.160000,2443
TV_Stream/StartLinear,11,Passed,N/A,2020-10-02 11:20:54.420000,2020-10-02 11:21:07.801000,2752
TV_Stream/StartLinear,12,Passed,N/A,2020-10-02 11:21:51.757000,2020-10-02 11:22:06.919000,2635
TV_Stream/StartLinear,13,Passed,N/A,2020-10-02 11:22:50.973000,2020-10-02 11:23:04.321000,2362
TV_Stream/StartLinear,15,Passed,N/A,2020-10-02 11:25:47.956000,2020-10-02 11:26:02.293000,2198
TV_Stream/StartLinear,16,Passed,N/A,2020-10-02 11:28:24.552000,2020-10-02 11:28:37.867000,2600
TV_Stream/StartLinear,17,Passed,N/A,2020-10-02 11:30:59.817000,2020-10-02 11:31:14.841000,2311
TV_Stream/StartLinear,18,Passed,N/A,2020-10-02 11:33:38.428000,2020-10-02 11:33:51.326000,2464
